fold,n_layer,layer_size,features,f_engineer,normalize,acc
2,3,16,['length'],1,1,92.63157894736842
2,3,16,['length'],0,1,93.6842105263158
2,3,16,"['length', 'sd']",1,1,86.31578947368422
2,3,16,"['length', 'sd']",0,1,87.36842105263159
2,3,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,84.91228070175438
2,3,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,86.31578947368422
2,3,32,['length'],1,1,92.80701754385964
2,3,32,['length'],0,1,93.33333333333333
2,3,32,"['length', 'sd']",1,1,81.40350877192982
2,3,32,"['length', 'sd']",0,1,86.8421052631579
2,3,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,80.17543859649123
2,3,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,81.22807017543859
2,3,64,['length'],1,1,86.8421052631579
2,3,64,['length'],0,1,89.47368421052632
2,3,64,"['length', 'sd']",1,1,72.98245614035088
2,3,64,"['length', 'sd']",0,1,77.89473684210526
2,3,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,78.0701754385965
2,3,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,77.36842105263158
2,3,128,['length'],1,1,78.42105263157895
2,3,128,['length'],0,1,85.6140350877193
2,3,128,"['length', 'sd']",1,1,72.10526315789474
2,3,128,"['length', 'sd']",0,1,73.50877192982456
2,3,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,74.91228070175438
2,3,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,71.9298245614035
3,1,2,['length'],1,1,92.28070175438596
3,1,2,['length'],0,1,93.50877192982456
3,1,2,"['length', 'sd']",1,1,92.28070175438596
3,1,2,"['length', 'sd']",0,1,93.6842105263158
3,1,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,92.45614035087719
3,1,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.38596491228071
3,1,4,['length'],1,1,92.63157894736842
3,1,4,['length'],0,1,93.50877192982456
3,1,4,"['length', 'sd']",1,1,91.22807017543859
3,1,4,"['length', 'sd']",0,1,93.6842105263158
3,1,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.42105263157895
3,1,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,89.82456140350877
3,1,8,['length'],1,1,92.98245614035088
3,1,8,['length'],0,1,93.50877192982456
3,1,8,"['length', 'sd']",1,1,90.35087719298247
3,1,8,"['length', 'sd']",0,1,90.35087719298247
3,1,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,89.47368421052632
3,1,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.75438596491227
3,1,16,['length'],1,1,92.45614035087719
3,1,16,['length'],0,1,92.63157894736842
3,1,16,"['length', 'sd']",1,1,92.10526315789474
3,1,16,"['length', 'sd']",0,1,90.0
3,1,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.59649122807018
3,1,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,89.64912280701755
3,1,32,['length'],1,1,92.63157894736842
3,1,32,['length'],0,1,93.50877192982456
3,1,32,"['length', 'sd']",1,1,89.29824561403508
3,1,32,"['length', 'sd']",0,1,89.64912280701755
3,1,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,87.54385964912281
3,1,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,89.12280701754386
3,1,64,['length'],1,1,92.28070175438596
3,1,64,['length'],0,1,92.98245614035088
3,1,64,"['length', 'sd']",1,1,89.64912280701755
3,1,64,"['length', 'sd']",0,1,88.94736842105263
3,1,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,85.43859649122807
3,1,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.42105263157895
3,1,128,['length'],1,1,92.10526315789474
3,1,128,['length'],0,1,93.33333333333333
3,1,128,"['length', 'sd']",1,1,89.47368421052632
3,1,128,"['length', 'sd']",0,1,92.80701754385964
3,1,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.59649122807018
3,1,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.0701754385965
3,2,2,['length'],1,1,92.10526315789474
3,2,2,['length'],0,1,93.50877192982456
3,2,2,"['length', 'sd']",1,1,92.28070175438596
3,2,2,"['length', 'sd']",0,1,92.28070175438596
3,2,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,94.73684210526315
3,2,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.03508771929825
3,2,4,['length'],1,1,91.9298245614035
3,2,4,['length'],0,1,94.21052631578948
3,2,4,"['length', 'sd']",1,1,93.6842105263158
3,2,4,"['length', 'sd']",0,1,92.80701754385964
3,2,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,91.22807017543859
3,2,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,92.28070175438596
3,2,8,['length'],1,1,93.6842105263158
3,2,8,['length'],0,1,93.15789473684211
3,2,8,"['length', 'sd']",1,1,91.05263157894737
3,2,8,"['length', 'sd']",0,1,90.0
3,2,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,89.64912280701755
3,2,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.94736842105263
3,2,16,['length'],1,1,92.80701754385964
3,2,16,['length'],0,1,93.50877192982456
3,2,16,"['length', 'sd']",1,1,90.87719298245615
3,2,16,"['length', 'sd']",0,1,88.7719298245614
3,2,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,89.64912280701755
3,2,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,89.47368421052632
3,2,32,['length'],1,1,91.40350877192982
3,2,32,['length'],0,1,92.28070175438596
3,2,32,"['length', 'sd']",1,1,85.6140350877193
3,2,32,"['length', 'sd']",0,1,88.94736842105263
3,2,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,85.43859649122807
3,2,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,86.8421052631579
3,2,64,['length'],1,1,90.70175438596492
3,2,64,['length'],0,1,92.10526315789474
3,2,64,"['length', 'sd']",1,1,85.78947368421052
3,2,64,"['length', 'sd']",0,1,86.49122807017544
3,2,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,81.9298245614035
3,2,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,86.31578947368422
3,2,128,['length'],1,1,89.82456140350877
3,2,128,['length'],0,1,92.28070175438596
3,2,128,"['length', 'sd']",1,1,84.56140350877193
3,2,128,"['length', 'sd']",0,1,85.6140350877193
3,2,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,81.40350877192982
3,2,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,82.10526315789474
3,3,2,['length'],1,1,92.45614035087719
3,3,2,['length'],0,1,95.08771929824562
